ppt,soil,def,q,aet,Latitude,Longitude,Sample Date
32.7,0.0,143.1,1.6,31.1,-28.760833,17.730278,02-01-2011
51.1,12.8,70.3,2.6,53.8,-26.861111,28.884722,03-01-2011
62.7,6.8,66.700005,3.1,60.8,-26.45,28.085833,03-01-2011
84.2,7.2000003,46.5,4.2,83.200005,-27.671111,27.236944,03-01-2011
78.0,7.8,51.9,3.9000000000000004,77.3,-27.356667,27.286389,03-01-2011
106.0,5.9,0.0,5.300000000000001,98.6,-27.01011111,26.69808333,04-01-2011
135.1,24.0,0.0,6.800000000000001,105.5,-25.127778,27.628889,04-01-2011
143.4,33.600002,0.0,7.2,103.700005,-25.20639,27.558,04-01-2011
141.1,23.6,0.0,7.1000000000000005,111.8,-24.69514,27.40906,04-01-2011
109.30000000000001,10.7,0.0,5.5,98.200005,-26.98472222,26.63227778,04-01-2011
90.9,4.8,6.1,4.5,87.700005,-28.141944,26.417778,04-01-2011
97.2,2.9,8.2,4.9,92.700005,-27.398611,26.614722,04-01-2011
16.3,0.1,84.700005,0.8,15.5,-33.501667,21.624167,04-01-2011
16.2,0.6,104.5,0.8,15.400001,-32.502778,19.535833,04-01-2011
141.9,32.5,0.0,7.1000000000000005,103.6,-25.45963889,28.26430556,04-01-2011
99.5,0.4,5.2000003,5.0,94.5,-27.495556,26.074722,04-01-2011
63.300000000000004,12.2,13.0,3.2,70.5,-26.648056,27.089444,05-01-2011
66.7,14.900001,9.6,3.3000000000000003,72.5,-26.970278,27.211111,05-01-2011
97.4,9.7,0.0,4.9,83.200005,-27.38972222,26.46388889,05-01-2011
74.60000000000001,13.0,6.8,3.7,75.6,-27.044444,27.005,05-01-2011
54.1,8.0,3.9,2.7,53.100002,-30.830556,26.921389,06-01-2011
26.400000000000002,15.6,32.9,1.3,37.100002,-27.00222,28.76528,06-01-2011
27.0,13.5,39.8,1.3,32.600002,-27.02314,28.59389,06-01-2011
44.900000000000006,5.1,15.400001,2.2,44.4,-30.679722,26.7125,06-01-2011
53.800000000000004,15.900001,3.4,2.7,54.0,-30.160091,27.40124,06-01-2011
73.2,19.1,0.0,3.7,52.7,-32.595833,19.009444,06-01-2011
48.0,6.3,126.5,2.4000000000000004,46.7,-25.99136,27.84208,10-01-2011
39.5,5.3,140.90001,2.0,38.5,-26.73806,27.59194,10-01-2011
45.300000000000004,5.6,129.0,2.3000000000000003,43.9,-26.45,28.085833,10-01-2011
28.8,9.900001,107.9,1.4000000000000001,30.1,-30.86013889,29.07125,10-01-2011
31.6,3.7,155.3,1.6,30.5,-27.356667,27.286389,10-01-2011
