Latitude,Longitude,Sample Date,nir,green,swir16,swir22,NDMI,MNDWI,blue,red
-34.096389,24.439167,02-12-2014,15619.5,8545.0,11401.5,9262.0,0.15610081048073662,-0.14320808161832832,7981.0,8277.0
-34.096389,24.439167,04-02-2015,14278.0,8275.5,10754.5,8778.0,0.1407570158793563,-0.13026799789805502,7832.5,8100.0
-34.096389,24.439167,04-03-2015,14293.0,8226.5,10394.5,8662.0,0.1579139240506323,-0.11642768916814288,7806.5,7950.0
-34.096389,24.439167,04-05-2011,12003.0,8511.0,9158.0,8134.5,0.13444544208685727,-0.03661780519554001,8196.0,8142.0
-34.096389,24.439167,04-12-2013,15576.5,8511.0,11268.0,9097.5,0.16049842612080628,-0.13939026239951394,7927.0,8295.0
-34.096389,24.439167,05-02-2014,15394.0,8462.5,10996.0,8837.5,0.16665403561955225,-0.13020016959169448,7926.0,8252.0
-34.096389,24.439167,05-05-2015,13190.0,7992.5,9612.0,8307.0,0.15691605999473662,-0.09199352438296975,7690.5,7800.5
-34.096389,24.439167,05-11-2014,16096.0,8627.5,11651.0,9325.5,0.16019749882870163,-0.14909879922084895,7991.0,8261.5
-34.096389,24.439167,05-12-2012,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
-34.096389,24.439167,06-11-2013,15576.5,8511.0,11268.0,9097.5,0.16049842612080628,-0.13939026239951394,7927.0,8295.0
-34.096389,24.439167,07-01-2014,15394.0,8462.5,10996.0,8837.5,0.16665403561955225,-0.13020016959169448,7926.0,8252.0
-34.096389,24.439167,07-01-2015,16030.0,8603.0,11607.0,9285.5,0.1600390780475444,-0.14863928748144412,7964.0,8279.5
-34.096389,24.439167,07-02-2012,,,,,,,,
-34.096389,24.439167,07-07-2011,12003.0,8511.0,9158.0,8134.5,0.13444544208685727,-0.03661780519554001,8196.0,8142.0
-34.096389,24.439167,07-10-2014,15253.0,8460.5,10817.0,8948.5,0.17015726889144547,-0.1222409544806115,7888.0,8251.5
-34.096389,24.439167,07-10-2015,14635.5,8460.0,11053.0,8976.0,0.13945929112248617,-0.13288576846205027,7937.0,8286.0
-34.096389,24.439167,07-11-2012,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
-34.096389,24.439167,07-12-2011,14338.5,8332.0,10467.5,8750.0,0.15605095541401212,-0.1135934466342184,7891.0,8087.0
-34.096389,24.439167,08-01-2013,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
-34.096389,24.439167,08-10-2013,14555.0,8322.0,10452.0,8762.0,0.1640740592634056,-0.1134547778843075,7767.5,8026.5
-34.096389,24.439167,08-11-2011,14338.5,8332.0,10467.5,8750.0,0.15605095541401212,-0.1135934466342184,7891.0,8087.0
-34.096389,24.439167,08-12-2015,14635.5,8460.0,11053.0,8976.0,0.13945929112248617,-0.13288576846205027,7937.0,8286.0
-34.096389,24.439167,09-03-2011,12003.0,8511.0,9158.0,8134.5,0.13444544208685727,-0.03661780519554001,8196.0,8142.0
-34.096389,24.439167,11-01-2012,,,,,,,,
-34.096389,24.439167,11-09-2012,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
-34.096389,24.439167,11-09-2013,14555.0,8322.0,10452.0,8762.0,0.1640740592634056,-0.1134547778843075,7767.5,8026.5
-34.096389,24.439167,12-08-2014,14034.5,8300.5,9873.5,8457.0,0.17404216161954086,-0.08655221745350454,7799.5,8059.0
-34.096389,24.439167,12-10-2011,,,,,,,,
-34.096389,24.439167,12-11-2015,14635.5,8460.0,11053.0,8976.0,0.13945929112248617,-0.13288576846205027,7937.0,8286.0
-34.096389,24.439167,13-08-2013,14002.0,8074.0,9942.5,8379.0,0.16953788970327147,-0.10371048760858045,7734.0,7762.0
-34.096389,24.439167,13-09-2011,,,,,,,,
-34.096389,24.439167,14-08-2012,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
-34.096389,24.439167,15-07-2014,14034.5,8300.5,9873.5,8457.0,0.17404216161954086,-0.08655221745350454,7799.5,8059.0
-34.096389,24.439167,16-09-2015,14387.0,8290.5,10457.5,8849.5,0.15816377870353537,-0.11558566247066293,7794.0,8101.5
-34.096389,24.439167,17-07-2013,14002.0,8074.0,9942.5,8379.0,0.16953788970327147,-0.10371048760858045,7734.0,7762.0
-34.096389,24.439167,17-09-2014,15253.0,8460.5,10817.0,8948.5,0.17015726889144547,-0.1222409544806115,7888.0,8251.5
-34.096389,24.439167,17-10-2012,15287.0,8486.0,11599.5,9179.0,0.13715061462071992,-0.15501232232207238,7923.0,8233.5
