Latitude,Longitude,Sample Date,blue,red
-28.760833,17.730278,02-01-2011,9557.0,12802.0
-26.861111,28.884722,03-01-2011,8691.0,9241.5
-26.45,28.085833,03-01-2011,9502.5,12540.0
-27.671111,27.236944,03-01-2011,9693.5,11237.5
-27.356667,27.286389,03-01-2011,8718.0,9290.0
-27.01011111,26.69808333,04-01-2011,9344.0,10728.5
-25.127778,27.628889,04-01-2011,4984.0,5122.0
-25.20639,27.558,04-01-2011,10039.0,9985.0
-24.69514,27.40906,04-01-2011,9921.0,10524.0
-26.98472222,26.63227778,04-01-2011,9414.0,10262.5
-28.141944,26.417778,04-01-2011,9085.5,9679.0
-27.398611,26.614722,04-01-2011,9253.5,10126.0
-33.501667,21.624167,04-01-2011,,
-32.502778,19.535833,04-01-2011,10579.0,14613.0
-25.45963889,28.26430556,04-01-2011,9139.0,11096.0
-27.495556,26.074722,04-01-2011,9490.5,11540.5
-26.648056,27.089444,05-01-2011,8535.0,8963.5
-26.970278,27.211111,05-01-2011,9671.5,11496.0
-27.38972222,26.46388889,05-01-2011,10130.0,11926.0
-27.044444,27.005,05-01-2011,8882.5,9503.5
-30.830556,26.921389,06-01-2011,4189.0,4479.0
-27.00222,28.76528,06-01-2011,8743.0,9947.0
-27.02314,28.59389,06-01-2011,8893.0,10129.0
-30.679722,26.7125,06-01-2011,9235.5,11938.0
-30.160091,27.40124,06-01-2011,9063.0,10522.5
-32.595833,19.009444,06-01-2011,9227.5,10903.5
-25.99136,27.84208,10-01-2011,10629.0,11898.0
-26.73806,27.59194,10-01-2011,8719.0,8961.0
-26.45,28.085833,10-01-2011,9502.5,12540.0
-30.86013889,29.07125,10-01-2011,9396.0,11634.0
-27.356667,27.286389,10-01-2011,8718.0,9290.0
-27.01011111,26.69808333,11-01-2011,9344.0,10728.5
-25.73411,27.21422,11-01-2011,16362.5,17879.5
-26.98472222,26.63227778,11-01-2011,9414.0,10262.5
-27.398611,26.614722,11-01-2011,9253.5,10126.0
-27.671111,27.236944,11-01-2011,9693.5,11237.5
-29.160278,26.573333,11-01-2011,,
-34.250556,20.9925,11-01-2011,8456.0,9192.0
-25.45963889,28.26430556,11-01-2011,9139.0,11096.0
-25.81048333,27.90955222,12-01-2011,8693.0,9553.5
-27.273889,28.49,12-01-2011,8456.5,9407.5
-27.4275,28.525833,12-01-2011,9231.0,11296.0
-28.883333,27.89,12-01-2011,8398.5,9399.5
-27.00222,28.76528,13-01-2011,8743.0,9947.0
-27.02314,28.59389,13-01-2011,8893.0,10129.0
-30.534167,24.961944,13-01-2011,9795.0,10773.5
-28.460833,21.248889,13-01-2011,10832.0,13063.0
-29.658056,25.973333,14-01-2011,9396.0,11157.5
-28.760833,17.730278,16-01-2011,9557.0,12802.0
-25.513889,31.224444,17-01-2011,8486.0,9137.5
-26.861111,28.884722,17-01-2011,8691.0,9241.5
-31.554722,29.245556,17-01-2011,8558.0,8850.0
-28.058889,30.373611,17-01-2011,8452.5,9431.0
-25.127778,27.628889,18-01-2011,4984.0,5122.0
-25.20639,27.558,18-01-2011,10039.0,9985.0
-24.69514,27.40906,18-01-2011,9921.0,10524.0
-25.681111,31.783333,18-01-2011,9686.5,11154.0
-27.802778,28.768333,18-01-2011,8857.5,9811.5
-27.398611,26.614722,18-01-2011,9253.5,10126.0
-31.104278,29.399722,18-01-2011,,
-31.396,29.2651,18-01-2011,9782.5,13003.0
-33.38056,19.30167,18-01-2011,9572.0,11320.5
-33.31388889,19.07472222,18-01-2011,8765.0,9965.0
-27.495556,26.074722,18-01-2011,9490.5,11540.5
-24.39619444,27.08983333,19-01-2011,,
-26.970278,27.211111,19-01-2011,9671.5,11496.0
-26.880278,26.965,19-01-2011,8695.0,9354.5
-27.273889,28.49,19-01-2011,8456.5,9407.5
-27.3,28.586944,19-01-2011,8561.0,9929.5
-27.044444,27.005,19-01-2011,8882.5,9503.5
-30.568333,29.422778,19-01-2011,8429.5,8964.5
-30.570833,29.150556,19-01-2011,,
-34.031944,22.053333,19-01-2011,7784.0,7826.0
-33.13083,18.86278,19-01-2011,9873.5,12122.5
-33.7075,18.97444444,19-01-2011,8918.0,10330.5
-25.57877778,29.12747222,19-01-2011,9017.0,11586.5
-26.006389,29.253889,20-01-2011,,
-27.02314,28.59389,20-01-2011,8893.0,10129.0
-30.679722,26.7125,20-01-2011,9235.5,11938.0
-28.460833,21.248889,20-01-2011,10832.0,13063.0
-30.77586667,29.03221667,20-01-2011,,
-24.925278,29.324444,21-01-2011,8655.0,9276.5
-28.460833,21.248889,21-01-2011,10832.0,13063.0
-24.679167,30.8025,24-01-2011,8832.5,10583.0
-25.99136,27.84208,24-01-2011,10629.0,11898.0
-25.49037,30.6986,24-01-2011,8148.5,8241.5
-26.970278,27.211111,24-01-2011,9671.5,11496.0
-27.671111,27.236944,24-01-2011,9693.5,11237.5
-27.356667,27.286389,24-01-2011,8718.0,9290.0
-27.01011111,26.69808333,25-01-2011,9344.0,10728.5
-26.98472222,26.63227778,25-01-2011,9414.0,10262.5
-27.398611,26.614722,25-01-2011,9253.5,10126.0
-33.818056,19.694722,25-01-2011,,
-25.45963889,28.26430556,25-01-2011,9139.0,11096.0
-33.897778,20.012778,25-01-2011,8707.0,9119.0
-25.81048333,27.90955222,26-01-2011,8693.0,9553.5
-34.065833,20.404167,26-01-2011,8061.0,8402.0
-24.058889,31.237222,26-01-2011,8702.0,9677.5
-26.648056,27.089444,26-01-2011,8535.0,8963.5
-26.880278,26.965,26-01-2011,8695.0,9354.5
-27.273889,28.49,26-01-2011,8456.5,9407.5
-27.044444,27.005,26-01-2011,8882.5,9503.5
-34.092222,21.295278,26-01-2011,8666.0,9683.0
-27.02314,28.59389,27-01-2011,8893.0,10129.0
-26.73806,27.59194,27-01-2011,8719.0,8961.0
-28.760833,17.730278,30-01-2011,9557.0,12802.0
-26.861111,28.884722,31-01-2011,8691.0,9241.5
-26.73806,27.59194,31-01-2011,8719.0,8961.0
-25.127778,27.628889,01-02-2011,4984.0,5122.0
-24.69514,27.40906,01-02-2011,9921.0,10524.0
-27.363611,31.783333,01-02-2011,8437.0,8994.5
-27.802778,28.768333,01-02-2011,8857.5,9811.5
